QSP STEP QPU Experiment -- qpu:belenos
Run tag        : x50_shots5000
x_values       : 50 points
N_SHOTS        : 5000
Fix 1 retries  : 3
Fix 2 NaN      : enabled

x[00] = -3.1416  job_id = 33cd250e-64b1-4eb0-b1c2-900f007edc7a
x[01] = -3.0134  job_id = ce1df447-b18e-470b-a5d0-08de5fe45b92
x[02] = -2.8851  job_id = 0868421d-7949-4b02-b33d-5d430f19373e
x[03] = -2.7569  job_id = 737a82df-7c3a-493e-bfd0-540e15e9c432
x[04] = -2.6287  job_id = 46194fc7-f794-46d9-bb62-03b1367b9b81
x[05] = -2.5005  job_id = 71a635cd-9796-4b30-9bf2-79235e6b69a2
x[06] = -2.3722  job_id = 3bfb34fc-9fd7-4370-a512-45cae7163f70
x[07] = -2.2440  job_id = 4d61119d-c806-4192-abf3-e99522da5804
x[08] = -2.1158  job_id = 549ff9c6-6885-4390-9bd1-dadde0291728
x[09] = -1.9875  job_id = 24ebda70-b2c8-4ea9-96a1-658e2df40897
x[10] = -1.8593  job_id = 227f6e25-2952-4fa5-8a19-45846fb97452
x[11] = -1.7311  job_id = c6907d1b-3f92-46b2-b5d8-94fc57df6224
x[12] = -1.6029  job_id = 5983848e-8dbb-4d68-9ddc-6f139b2eb172
x[13] = -1.4746  job_id = 28ed8b22-6588-4ca8-ad93-df07a68931db
x[14] = -1.3464  job_id = 0979f2d7-dfc1-4748-b2cf-03eb9045dc5f
x[15] = -1.2182  job_id = b544d27b-465b-4418-b397-930b54804458
x[16] = -1.0899  job_id = 45a30b19-ae3d-4aa9-bab7-20d5698e83f2
x[17] = -0.9617  job_id = eae4bcc5-c426-4cf3-855e-31602fd2508b
x[18] = -0.8335  job_id = e39f6810-de35-4141-aa68-8292cccec447
x[19] = -0.7053  job_id = d18a9add-2e2c-49cd-a893-302f27755fbc
x[20] = -0.5770  job_id = aa064cf4-840d-4b83-b7a2-a7c78d37c2f3
x[21] = -0.4488  job_id = 81421de7-bf1b-4488-9d96-82c9ab68791b
x[22] = -0.3206  job_id = 3129d371-a643-41a0-942b-a514ddc3f54a
x[23] = -0.1923  job_id = d8b57d99-44a6-4dd7-9749-0506ac608558
x[24] = -0.0641  job_id = 21094b16-176e-411c-913f-7cad8efdaff4
x[25] = +0.0641  job_id = 5d4a9580-e335-4b3a-9271-d7b3dbfbe694
x[26] = +0.1923  job_id = bbbad9a6-3127-4e41-b775-3d621d8dbb15
x[27] = +0.3206  job_id = 3de85007-5bd7-4bab-bd97-c9ed61f68177
x[28] = +0.4488  job_id = 8fba3485-7f0c-4000-90eb-6545b3d99ab3
x[29] = +0.5770  job_id = 3080116b-d00b-4ed4-8d68-4842bf76d42d
x[30] = +0.7053  job_id = 5edbb1cd-bd65-44b2-98a6-3d4299332e04
x[31] = +0.8335  job_id = d51043dd-d8c9-427e-84a0-8d870fc056f1
x[32] = +0.9617  job_id = 8c90c628-769b-49a1-bf3e-34c835e3df9b
x[33] = +1.0899  job_id = 81100990-4a98-48ea-9e98-633e3a0414c2
x[34] = +1.2182  job_id = 2ec93ed5-d772-4628-9d48-ee17f6496e54
x[35] = +1.3464  job_id = b7114d6d-4f5a-407d-9ba3-91974dea0c59
x[36] = +1.4746  job_id = 3ff7a16a-7797-4516-8d06-978276eaef30
x[37] = +1.6029  job_id = 325dad75-eddb-4f0e-b5a6-c7680608a7c6
x[38] = +1.7311  job_id = 72d2044d-1b11-4b30-8ff8-4f9074ca6d11
x[39] = +1.8593  job_id = c4fb4dc6-0b0a-44df-8f85-0dc95d32a216
x[40] = +1.9875  job_id = 2f0c09ab-add8-44f3-b375-9a26500e6643
x[41] = +2.1158  job_id = 4a465b4b-83ba-4631-8de5-1e663bff72ad
x[42] = +2.2440  job_id = 76cf7e51-2f8e-4ccf-96c1-3028708075df
x[43] = +2.3722  job_id = da9330da-9162-40e8-a8e7-31dbc84f4df6
x[44] = +2.5005  job_id = d81f6666-7d69-4805-b658-235fce2ee56a
x[45] = +2.6287  job_id = 2dd4ba51-85fc-40d8-8c79-3a79356d2711
x[46] = +2.7569  job_id = 6cf31840-e61f-4ea9-9e64-bd525c2ea87e
x[47] = +2.8851  job_id = 783c4286-17df-4327-abdb-b699443d30ba
x[48] = +3.0134  job_id = badb993a-3f3e-44e8-b4f1-76cf62a5d89a
x[49] = +3.1416  job_id = 50dbf97b-7b31-45d3-a488-9eb680838c69
